frame,t_s,torso_lean_deg,l_hip_pitch_deg,l_knee_deg,l_shoulder_pitch_deg,l_elbow_deg,r_hip_pitch_deg,r_knee_deg,r_shoulder_pitch_deg,r_elbow_deg
293,9.767,-2.466,9.533,66.787,-12.172,18.693,30.471,92.294,-13.661,16.030
294,9.800,-5.371,7.120,69.525,-12.563,25.038,23.902,83.137,-16.497,23.627
295,9.833,4.540,18.472,86.756,8.299,25.411,37.560,91.998,-1.901,16.741
296,9.867,12.791,26.047,80.091,24.019,19.368,40.861,69.264,4.448,12.301
297,9.900,10.646,30.993,79.249,11.082,9.597,44.847,68.339,-4.317,6.032
298,9.933,12.374,32.357,77.078,13.219,14.041,38.840,55.190,-1.444,6.252
299,9.967,-2.916,21.206,74.180,-19.309,13.423,36.575,54.757,-21.915,1.311
300,10.000,-8.925,18.289,51.872,-27.575,1.597,25.033,46.478,-25.272,1.311
301,10.033,-5.979,19.544,64.805,-23.998,8.257,26.409,50.172,-20.890,5.345
302,10.067,-10.794,18.000,71.893,-26.716,12.108,21.811,52.964,-27.444,4.688
303,10.100,-8.898,-2.005,21.205,1.879,24.432,3.752,4.401,0.240,0.538
304,10.133,2.692,29.232,75.070,-3.219,6.148,20.841,47.483,-9.510,5.794
305,10.167,3.141,28.839,77.181,-0.096,8.040,30.568,60.468,-11.566,5.553
306,10.200,2.389,29.013,80.601,2.929,14.545,33.309,68.427,-8.008,11.270
307,10.233,-4.907,23.056,75.826,-6.474,12.907,27.807,67.872,-19.934,10.769
308,10.267,-7.668,20.285,76.378,-11.753,7.917,28.107,71.510,-24.393,0.720
309,10.300,-8.504,10.510,52.198,-22.864,10.310,26.595,70.116,-25.615,4.130
310,10.333,9.101,24.961,59.768,-149.269,34.669,68.375,99.278,-80.453,70.609
311,10.367,11.748,22.449,58.914,-135.029,54.259,91.472,118.885,-29.874,98.165
312,10.400,14.466,25.663,42.416,-136.124,64.962,68.376,92.189,-2.782,53.654
313,10.433,13.573,25.185,35.909,-146.227,58.415,59.778,84.545,-59.979,87.232
314,10.467,14.521,26.959,40.186,-154.943,55.627,39.824,57.738,-2.240,27.292
315,10.500,13.081,24.356,57.322,185.475,53.021,39.118,62.447,4.491,14.620
316,10.533,30.845,40.010,56.283,15.471,164.522,54.733,71.201,7.794,98.564
317,10.567,24.282,36.672,57.862,-150.495,6.342,76.177,98.493,-6.210,1.567
318,10.600,21.280,33.388,52.982,-148.785,50.776,60.593,87.781,7.350,17.143
319,10.633,15.909,22.889,44.903,-141.779,65.681,50.861,83.151,7.325,2.425
320,10.667,8.055,15.011,40.273,-161.959,98.763,44.447,74.887,-4.554,3.218
321,10.700,3.406,9.109,29.955,-153.402,117.433,29.705,70.656,-16.541,42.079
322,10.733,3.964,10.466,33.344,-155.107,75.285,32.187,71.684,-19.388,27.726
323,10.767,10.609,14.949,33.850,-146.831,39.398,30.886,65.025,-21.073,28.934
324,10.800,6.165,15.588,54.977,21.099,29.403,24.318,58.832,-6.747,30.953
325,10.833,3.070,17.549,60.830,12.520,27.727,30.706,66.988,-12.753,13.653
326,10.867,-11.144,9.307,23.757,-45.764,4.384,13.322,31.576,-15.973,5.924
327,10.900,-6.564,12.010,32.597,-6.528,18.280,-1.898,22.465,-22.440,7.161
328,10.933,-14.957,28.516,17.614,-19.953,29.816,21.599,20.995,-28.432,3.140
329,10.967,-43.502,1.672,14.675,-61.150,65.194,-2.403,26.984,-74.622,25.779
330,11.000,-28.188,5.096,11.026,-35.415,20.266,10.456,24.313,-66.646,104.510
