frame,t_s,torso_lean_deg,torso_up,hip_y,l_hip_pitch_deg,l_knee_deg,l_shoulder_pitch_deg,l_elbow_deg,r_hip_pitch_deg,r_knee_deg,r_shoulder_pitch_deg,r_elbow_deg
120,4.0000,-40.8670,0.7551,-0.0037,5.5414,34.3565,-97.1077,9.0089,7.5510,43.9293,-187.8714,95.8159
121,4.0333,-39.1002,0.7759,-0.0036,7.7809,35.0378,-88.7260,2.3991,10.6924,45.8306,-117.3110,101.2180
122,4.0667,-39.1596,0.7751,-0.0036,7.7988,34.8266,-88.5601,0.9094,11.3036,46.8698,-114.4087,90.0234
123,4.1000,-41.9022,0.7423,-0.0036,4.9785,35.2571,-96.4242,3.2186,8.9654,46.1226,-140.8370,123.8101
124,4.1333,-41.9453,0.7411,-0.0038,4.6697,35.3061,-98.3773,6.1486,7.3951,43.9677,-157.0060,113.4782
125,4.1667,-42.0619,0.7403,-0.0038,4.0102,35.1983,-97.7974,6.7464,5.4487,42.4900,-137.5578,127.7921
126,4.2000,-46.3040,0.6840,-0.0042,0.1478,35.2386,-106.4521,6.1141,2.9205,43.7934,-187.5565,100.6545
127,4.2333,-46.6833,0.6773,-0.0043,-0.3981,34.6619,-107.7239,9.7325,0.8177,41.1795,-208.1446,85.7821
128,4.2667,-40.0105,0.7634,-0.0039,6.4656,37.0097,-88.4739,3.4457,8.2474,46.5847,-95.5084,97.6789
129,4.3000,-39.5994,0.7684,-0.0038,5.8852,35.1008,-87.5775,3.9311,7.9708,45.5373,-102.1623,91.8331
130,4.3333,-39.1859,0.7729,-0.0038,6.5298,35.7562,-88.0966,2.2198,8.4535,45.4550,-110.1023,86.5067
131,4.3667,-40.2816,0.7606,-0.0038,6.1559,35.3421,-89.2279,2.2945,10.0388,48.9203,-114.3792,94.2981
132,4.4000,-40.0813,0.7643,-0.0038,7.4398,37.0148,-90.2229,0.3645,11.2010,48.6867,-123.9083,127.2370
133,4.4333,-41.1350,0.7515,-0.0040,8.1221,39.1950,-93.6463,2.5038,11.6441,49.8418,-158.1592,111.1718
134,4.4667,-43.2687,0.7253,-0.0040,5.7823,38.7289,-99.1507,5.4507,9.4452,48.2214,-170.1456,102.7283
135,4.5000,-41.6044,0.7459,-0.0037,7.7032,39.0456,-92.6592,2.8891,12.9348,51.6914,-88.5533,18.6574
